image_id,original_label,mapped_label
0,Glass bottle,Glass
1,Meal carton,Paper
1,Other carton,Paper
2,Clear plastic bottle,Plastic
2,Plastic bottle cap,Plastic
3,Clear plastic bottle,Plastic
3,Clear plastic bottle,Plastic
3,Plastic bottle cap,Plastic
3,Drink can,Metal
4,Drink can,Metal
5,Food Can,Metal
5,Food Can,Metal
5,Other plastic bottle,Plastic
5,Plastic bottle cap,Plastic
5,Pop tab,Metal
5,Pop tab,Metal
6,Aerosol,Metal
7,Clear plastic bottle,Plastic
7,Plastic bottle cap,Plastic
8,Clear plastic bottle,Plastic
9,Food Can,Metal
9,Glass cup,Glass
9,Pop tab,Metal
10,Glass bottle,Glass
10,Other plastic wrapper,Plastic
11,Styrofoam piece,Other
11,Styrofoam piece,Other
11,Drink can,Metal
11,Plastic film,Plastic
11,Other carton,Paper
11,Other plastic,Plastic
12,Other plastic bottle,Plastic
12,Clear plastic bottle,Plastic
12,Glass bottle,Glass
12,Drink carton,Paper
12,Drink carton,Paper
12,Plastic bottle cap,Plastic
12,Plastic bottle cap,Plastic
12,Plastic bottle cap,Plastic
12,Plastic bottle cap,Plastic
12,Metal bottle cap,Metal
13,Clear plastic bottle,Plastic
13,Plastic bottle cap,Plastic
13,Plastic film,Plastic
13,Disposable food container,Other
14,Other plastic bottle,Plastic
15,Other plastic bottle,Plastic
15,Other plastic bottle,Plastic
15,Plastic bottle cap,Plastic
16,Aerosol,Metal
16,Normal paper,Paper
17,Paper cup,Paper
18,Drink can,Metal
19,Drink can,Metal
19,Pop tab,Metal
20,Food Can,Metal
20,Food Can,Metal
20,Pop tab,Metal
20,Pop tab,Metal
21,Food Can,Metal
21,Pop tab,Metal
22,Drink can,Metal
22,Pop tab,Metal
23,Aerosol,Metal
23,Other plastic bottle,Plastic
23,Other plastic bottle,Plastic
23,Plastic bottle cap,Plastic
24,Aerosol,Metal
25,Glass bottle,Glass
25,Other plastic wrapper,Plastic
26,Glass bottle,Glass
26,Other plastic wrapper,Plastic
27,Clear plastic bottle,Plastic
27,Drink can,Metal
27,Drink can,Metal
27,Drink can,Metal
27,Drink can,Metal
27,Pop tab,Metal
27,Plastic bottle cap,Plastic
28,Drink can,Metal
28,Drink can,Metal
28,Clear plastic bottle,Plastic
29,Drink can,Metal
30,Disposable food container,Other
31,Drink can,Metal
32,Drink can,Metal
33,Food Can,Metal
33,Food Can,Metal
33,Pop tab,Metal
33,Pop tab,Metal
34,Drink can,Metal
34,Single-use carrier bag,Plastic
35,Aerosol,Metal
35,Normal paper,Paper
