epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3042,1.30542,3.30862,1.20376,0.55856,0.04147,0.1031,0.07004,1.17958,3.13885,1.04594,0.000365329,0.000365329,0.000365329
2,190.295,1.31325,2.72243,1.17783,0.36705,0.16369,0.0922,0.06064,1.31996,2.66755,1.16118,0.000721096,0.000721096,0.000721096
3,280.638,1.36881,2.63014,1.21384,0.13651,0.17352,0.09179,0.05983,1.36755,4.99737,1.22023,0.0010622,0.0010622,0.0010622
4,366.808,1.38912,2.58597,1.23086,0.38734,0.17381,0.10593,0.06796,1.3641,2.70083,1.2181,0.00104501,0.00104501,0.00104501
5,455.048,1.34632,2.45099,1.21435,0.20497,0.28434,0.14609,0.09676,1.33282,2.33961,1.15691,0.00102301,0.00102301,0.00102301
6,543.782,1.35444,2.34805,1.21492,0.36368,0.24897,0.1539,0.10336,1.33497,2.63522,1.15813,0.00100101,0.00100101,0.00100101
7,629.1,1.35037,2.30583,1.21403,0.44121,0.19044,0.14121,0.09022,1.32395,2.57588,1.1794,0.000979013,0.000979013,0.000979013
8,717.593,1.30307,2.19623,1.17136,0.25688,0.26629,0.16876,0.11225,1.25841,2.17487,1.12812,0.000957015,0.000957015,0.000957015
9,805.527,1.29106,2.15034,1.18904,0.26631,0.24624,0.14594,0.09798,1.24855,2.24286,1.11032,0.000935018,0.000935018,0.000935018
10,892.323,1.27752,2.11692,1.17969,0.25183,0.26167,0.13869,0.0933,1.29606,2.40441,1.16116,0.00091302,0.00091302,0.00091302
11,978.564,1.24973,2.05674,1.15276,0.45609,0.22922,0.18199,0.12263,1.27193,2.14057,1.14817,0.000891022,0.000891022,0.000891022
12,1064.9,1.24298,2.05054,1.15758,0.27812,0.23312,0.17292,0.11803,1.21742,2.04998,1.11444,0.000869024,0.000869024,0.000869024
13,1151.12,1.21472,1.97968,1.1331,0.4833,0.21851,0.18947,0.12898,1.24798,2.04055,1.11882,0.000847026,0.000847026,0.000847026
14,1239.36,1.23837,1.96186,1.13848,0.17905,0.29699,0.17421,0.11826,1.21145,2.09152,1.1167,0.000825029,0.000825029,0.000825029
15,1324.96,1.17107,1.88875,1.11059,0.40916,0.26591,0.1812,0.12121,1.19096,2.0498,1.12313,0.000803031,0.000803031,0.000803031
16,1413.47,1.17356,1.86138,1.12945,0.19815,0.28117,0.18848,0.12602,1.20882,2.05615,1.10729,0.000781033,0.000781033,0.000781033
17,1501.75,1.19548,1.87927,1.1204,0.38832,0.22131,0.2047,0.14025,1.18938,1.95261,1.10411,0.000759035,0.000759035,0.000759035
18,1588.46,1.17224,1.80052,1.10539,0.47353,0.21897,0.20248,0.13726,1.18182,1.9628,1.10787,0.000737037,0.000737037,0.000737037
19,1678.42,1.15625,1.78306,1.10809,0.20819,0.29304,0.19731,0.13822,1.17531,2.04718,1.10492,0.00071504,0.00071504,0.00071504
20,1767.61,1.14101,1.77225,1.10334,0.25419,0.21848,0.19127,0.13239,1.19494,2.16389,1.10923,0.000693042,0.000693042,0.000693042
21,1856.79,1.13673,1.71475,1.0895,0.29604,0.2919,0.21897,0.15193,1.17873,1.99215,1.09689,0.000671044,0.000671044,0.000671044
22,1942.98,1.12271,1.74592,1.0951,0.29848,0.29318,0.19642,0.13379,1.17526,2.00995,1.10505,0.000649046,0.000649046,0.000649046
23,2031.96,1.12064,1.69816,1.07816,0.2871,0.29717,0.22756,0.16012,1.14164,1.94351,1.09118,0.000627048,0.000627048,0.000627048
24,2119.58,1.09737,1.64536,1.08555,0.28254,0.21219,0.196,0.13364,1.17819,2.09319,1.10543,0.000605051,0.000605051,0.000605051
25,2205.45,1.09303,1.64074,1.06504,0.26962,0.28766,0.21313,0.14816,1.17364,1.96331,1.10718,0.000583053,0.000583053,0.000583053
26,2293.63,1.0645,1.59728,1.0706,0.33048,0.29336,0.22627,0.16155,1.15112,1.91818,1.09309,0.000561055,0.000561055,0.000561055
27,2381.76,1.07444,1.56917,1.06463,0.29821,0.26739,0.21122,0.14947,1.16419,2.0358,1.1011,0.000539057,0.000539057,0.000539057
28,2466.08,1.04161,1.53343,1.05537,0.27305,0.30455,0.21939,0.15369,1.12913,1.97293,1.07855,0.000517059,0.000517059,0.000517059
29,2552.99,1.05795,1.5017,1.04949,0.30727,0.27668,0.22442,0.16226,1.13204,1.97632,1.07946,0.000495062,0.000495062,0.000495062
30,2636.44,1.04633,1.49152,1.03581,0.25639,0.31329,0.21986,0.15423,1.14595,2.01639,1.09307,0.000473064,0.000473064,0.000473064
31,2721.84,1.05075,1.48785,1.05654,0.33407,0.24978,0.22948,0.16331,1.12358,1.97383,1.07785,0.000451066,0.000451066,0.000451066
32,2807.54,1.01182,1.43077,1.03368,0.23738,0.33534,0.22538,0.16115,1.14306,1.96772,1.07111,0.000429068,0.000429068,0.000429068
33,2894.83,1.04631,1.46721,1.04625,0.34831,0.28567,0.23747,0.16797,1.11957,1.93402,1.07838,0.00040707,0.00040707,0.00040707
34,2981.23,1.01957,1.4121,1.03982,0.27423,0.28751,0.22951,0.16563,1.13056,1.96795,1.08342,0.000385073,0.000385073,0.000385073
35,3066.93,1.02133,1.40624,1.04018,0.30755,0.29219,0.22865,0.16225,1.12594,1.97223,1.07908,0.000363075,0.000363075,0.000363075
36,3153.81,1.03722,1.40259,1.0417,0.30656,0.32102,0.24251,0.17502,1.1288,1.9205,1.08093,0.000341077,0.000341077,0.000341077
37,3243.09,0.99362,1.31028,1.03475,0.35985,0.29043,0.24299,0.17186,1.09839,1.95166,1.06402,0.000319079,0.000319079,0.000319079
38,3330.04,0.99577,1.3018,1.02882,0.2972,0.31499,0.24672,0.17483,1.09915,1.95125,1.06188,0.000297081,0.000297081,0.000297081
39,3416.75,0.97712,1.27581,1.01807,0.33432,0.31569,0.25358,0.18075,1.09794,1.96651,1.06237,0.000275084,0.000275084,0.000275084
40,3503.89,0.99375,1.27741,1.02914,0.31069,0.30297,0.24738,0.17641,1.10621,1.93903,1.06506,0.000253086,0.000253086,0.000253086
41,3600.35,0.92162,1.30346,0.97826,0.27303,0.31817,0.23229,0.16274,1.10903,1.96593,1.07904,0.000231088,0.000231088,0.000231088
42,3686.27,0.90082,1.19529,0.96789,0.27354,0.32169,0.23916,0.16936,1.10186,2.00013,1.07279,0.00020909,0.00020909,0.00020909
