name,group
Aluminium foil,Metal
Aluminium blister pack,Metal
Metal bottle cap,Metal
Food Can,Metal
Aerosol,Metal
Drink can,Metal
Metal lid,Metal
Pop tab,Metal
Scrap metal,Metal
Carded blister pack,Other
Other carton,Paper
Egg carton,Paper
Drink carton,Paper
Corrugated carton,Paper
Meal carton,Paper
Pizza box,Paper
Paper cup,Paper
Magazine paper,Paper
Tissues,Paper
Wrapping paper,Paper
Normal paper,Paper
Paper bag,Paper
Single-use carrier bag,Plastic
Paper straw,Paper
Other plastic bottle,Plastic
Clear plastic bottle,Plastic
Plastic bottle cap,Plastic
Disposable plastic cup,Plastic
Other plastic cup,Plastic
Plastic lid,Plastic
Other plastic,Plastic
Plastic film,Plastic
Six pack rings,Plastic
Garbage bag,Plastic
Other plastic wrapper,Plastic
Polypropylene bag,Plastic
Crisp packet,Plastic
Spread tub,Plastic
Tupperware,Plastic
Plastic glooves,Plastic
Plastic utensils,Plastic
Squeezable tube,Plastic
Plastic straw,Plastic
Glass bottle,Glass
Broken glass,Glass
Glass cup,Glass
Glass jar,Glass
Battery,Other
Toilet tube,Other
Foam cup,Other
Food waste,Other
Plastified paper bag,Other
Disposable food container,Other
Rope&strings,Other
Shoe,Other
Styrofoam piece,Other
Unlabeled litter,Other
Cigarette,Other
Foam food container,Other
Other plastic container,Plastic
